"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","133.46497766990802","54.59555355487212","4.721908316964448","-0.31197865973435573","0.022399999999999975","0.0254","0.019399999999999973","1300","0.000212730074210639","0","0.000212730074210639","0.000212730074210639","","","true"
"1","378.91325686697155","299.46765391900925","4.81513590032656","-0.3097440319777085","0.04049999999999998","0.0342","0.04679999999999995","1300","0.00011781335121904459","0","0.00011781335121904459","0.00011781335121904459","1_0:0.004424270573338024","1_0:660","true"
"2","216.29415859101928","252.69855745630235","4.609655107492074","-0.3090875180776862","0.011900000000000022","0.012199999999999989","0.0116","1300","0.00020622549065584726","0","0.00020622549065584726","0.00020622549065584726","2_1:0.0038096628141680022","2_1:660","true"
"3","270.7899069753694","305.3787948999082","4.875545985705616","-0.30968652168552707","0.030000000000000027","0.017800000000000038","0.0422","1300","0.00013940679347524578","0","0.00013940679347524578","0.00013940679347524578","3_2:0.009836471945383785","3_2:660","true"
"4","183.92142525624672","136.70324844560497","4.818175808974537","-0.3103713081153928","0.03980000000000006","0.049000000000000044","0.0306","1300","0.0003253339113773519","0","0.0003253339113773519","0.0003253339113773519","4_15:0.007010535829578779;4_3:0.004896645785807674;4_5:0.006342766023485991","4_15:660;4_3:660;4_5:660","true"
"5","178.20420438269164","168.3575659805598","4.7341447892979165","-0.3114518235315779","0.008900000000000019","0.00880000000000003","0.009","1300","0.0001616335270057263","0","0.0001616335270057263","0.0001616335270057263","","","true"
"6","301.8630272550522","54.5025524207947","4.876275766278119","-0.30918835047116894","0.008799999999999919","0.0064","0.011199999999999988","1300","0.00012318883392420293","0","0.00012318883392420293","0.00012318883392420293","6_5:0.006558286024373583;6_7:0.011084298618926236","6_5:660;6_7:660","true"
"7","203.61207623312347","77.51647462438515","4.967524822898377","-0.30745739300983294","0.021399999999999975","0.025399999999999978","0.0174","1300","0.0008210726526514489","0","0.0008210726526514489","0.0008210726526514489","7_8:0.008098484405898804","7_8:660","true"
"8","153.23068452926216","64.90040127455194","4.902345248208107","-0.30837827664687645","0.01869999999999994","0.022599999999999953","0.0148","1300","0.00019999509132839213","0","0.00019999509132839213","0.00019999509132839213","8_9:0.013183018666672097","8_9:660","true"
"9","211.90408068120652","120.15415488071812","4.987235069122292","-0.3080310587566364","0.007500000000000062","0.00660000000000005","0.0084","1300","0.00031741299927946743","0","0.00031741299927946743","0.00031741299927946743","","","true"
"10","367.6651522645825","281.539965860361","4.831534448410197","-0.3097434424405673","0.0131","0.0098","0.01639999999999997","1300","0.00013009431871362524","0","0.00013009431871362524","0.00013009431871362524","10_9:0.008203599752983182;10_11:0.006424195234805169","10_9:660;10_11:660","true"
"11","334.7438560232502","253.77878822207813","4.972305689737398","-0.307214316560019","0.13939999999999997","0.1382","0.14059999999999995","1300","0.00014077704686106765","0","0.00014077704686106765","0.00014077704686106765","11_12:0.0050758353985880245","11_12:660","true"
"12","294.4030250511898","139.9749613927621","4.936319107472835","-0.3079608272575031","0.015800000000000036","0.014399999999999968","0.0172","1300","0.0001868223976019314","0","0.0001868223976019314","0.0001868223976019314","12_17:0.004365504350121285","12_17:660","true"
"13","267.07175557014205","74.26187157079269","5.005809502119509","-0.3067650398842775","0.01100000000000001","0.0076","0.014399999999999968","1300","0.0002457070677284922","0","0.0002457070677284922","0.0002457070677284922","13_12:0.006538942832004402","13_12:660","true"
"14","235.2619640136014","124.48610187910779","4.903344760967439","-0.308419961199297","0.01639999999999997","0.0144","0.018399999999999972","1300","0.00015401878562808108","0","0.00015401878562808108","0.00015401878562808108","14_0:0.007180005195889877;14_18:0.007093179938227667","14_0:660;14_18:660","true"
"15","241.78674782231207","43.84749930002556","4.947914953560998","-0.308052427832017","0.017199999999999993","0.0182","0.016199999999999992","1300","0.00030219800425865305","0","0.00030219800425865305","0.00030219800425865305","15_22:0.028777152149831176","15_22:660","true"
"16","96.58443945102387","15.358167028777025","4.9603281019871295","-0.3076594514774509","0.015700000000000047","0.015800000000000036","0.0156","1300","0.0004834044725574382","0","0.0004834044725574382","0.0004834044725574382","16_8:0.010556757721986137;16_26:0.008938484383805206","16_8:660;16_26:660","true"
"17","316.3458607290525","316.84621460019025","4.820823460371974","-0.30970435909943395","0.015800000000000036","0.015199999999999991","0.0164","1300","0.0002416435585760238","0","0.0002416435585760238","0.0002416435585760238","17_30:0.007856999283136185","17_30:660","true"
"18","303.06098610953995","111.16896691773873","4.788139278987067","-0.31063598977187784","0.09299999999999997","0.09319999999999995","0.0928","1300","0.0004659336401956645","0","0.0004659336401956645","0.0004659336401956645","18_19:0.005997494211569532","18_19:660","true"
"19","289.12718287314","104.58263771840163","4.7469924322616","-0.31072395279331844","0.08739999999999992","0.07999999999999996","0.0948","1300","0.0001280719930979494","0","0.0001280719930979494","0.0001280719930979494","","","true"
"20","122.61689497256621","135.4004785642492","4.862313786651259","-0.3090978906556921","0.010099999999999998","0.0116","0.008600000000000052","1300","0.00037501377150413493","0","0.00037501377150413493","0.00037501377150413493","20_33:0.009457134897083996;20_19:0.011822552544519443","20_33:660;20_19:660","true"
"21","144.1996958093404","127.33929874628195","4.9664950331928335","-0.30694839478531033","0.008099999999999996","0.008600000000000052","0.0076","1300","0.00017233708736751782","0","0.00017233708736751782","0.00017233708736751782","21_20:0.010858257302495594;21_22:0.03583038323558432","21_20:660;21_22:660","true"
"22","221.71812648012263","80.04265146680054","5.038197876457438","-0.3065535436677073","0.022299999999999986","0.027599999999999958","0.017","1300","0.0036515889213622416","0","0.0036515889213622416","0.0036515889213622416","22_23:0.07649161250773212","22_23:660","true"
"23","306.3319671056444","68.15094727169605","4.844974504703859","-0.309395699354676","0.021199999999999997","0.0234","0.019000000000000017","1300","0.00015375503159127655","0","0.00015375503159127655","0.00015375503159127655","","","true"
"24","238.23490191678758","90.93293642868313","5.100790397005483","-0.3054983979252499","0.1451","0.0518","0.23839999999999995","1300","0.00013283949815182827","0","0.00013283949815182827","0.00013283949815182827","24_23:0.0048616098113531125;24_34:1","24_23:660;24_34:660","true"
"25","248.42677801541532","291.0804705563266","4.945232228281061","-0.3084275156167526","0.011200000000000099","0.008600000000000052","0.0138","1300","0.00020659549408547323","0","0.00020659549408547323","0.00020659549408547323","25_24:0.006158361692760628","25_24:660","true"
"26","353.55971049439006","171.43533253342227","4.854079644904046","-0.30976922795032275","0.010299999999999976","0.0108","0.009800000000000031","1300","0.0001578659102610832","0","0.0001578659102610832","0.0001578659102610832","26_25:0.010486499428975976","26_25:660","true"
"27","289.3606287478867","271.81742200968483","4.747574990089512","-0.31027519414312993","0.062100000000000044","0.07520000000000004","0.049","1300","0.00018384426711919122","0","0.00018384426711919122","0.00018384426711919122","27_26:0.004432435775062277","27_26:660","true"
"28","163.62261383830577","82.22356625064306","4.99440242324861","-0.3073714140177614","0.04039999999999999","0.0136","0.06720000000000004","1300","0.0003183850616091231","0","0.0003183850616091231","0.0003183850616091231","28_27:0.009587479818902372;28_29:0.008365479033509982;28_35:0.008733394141748091","28_27:660;28_29:660;28_35:660","true"
"29","353.52041124491075","363.50240820220444","4.6286491295706345","-0.3122408870668324","0.018299999999999983","0.0214","0.015199999999999991","1300","0.00012014162256856287","0","0.00012014162256856287","0.00012014162256856287","","","true"
"30","225.16553048514552","62.762107863376535","4.732965719362059","-0.31090012417705765","0.006900000000000017","0.007800000000000029","0.006","1300","0.0003227501340959137","0","0.0003227501340959137","0.0003227501340959137","30_29:0.007947897309866031;30_31:0.011338316940422005","30_29:660;30_31:660","true"
"31","255.89174136839566","68.00802773283442","4.797666871392719","-0.31025628620305007","0.006099999999999994","0.008000000000000007","0.0042","1300","0.0005408396133289638","0","0.0005408396133289638","0.0005408396133289638","31_32:0.01907403159288945","31_32:660","true"
"32","242.9072417932211","265.3383348001928","4.910386069926192","-0.3078794303810588","0.009800000000000031","0.009800000000000031","0.0098","1300","0.0004367191520441386","0","0.0004367191520441386","0.0004367191520441386","32_36:0.013230810178052582","32_36:660","true"
"33","182.21947004104462","88.22270674150127","4.973179864912966","-0.3075486854907048","0.015600000000000058","0.01539999999999997","0.0158","1300","0.0003154291708289591","0","0.0003154291708289591","0.0003154291708289591","33_39:0.013260702845605793","33_39:660","true"
"34","251.24210616346843","85.16517280398533","4.678636054063652","-0.3124338462946453","0.06830000000000003","0.07679999999999998","0.0598","1300","0.0008998537301157837","0","0.0008998537301157837","0.0008998537301157837","34_43:0.008967726082260596","34_43:660","true"
"35","215.15207034486974","129.9693980247298","4.907602427825297","-0.308301773576246","0.016100000000000003","0.0176","0.014599999999999946","1300","0.00026262983757289294","0","0.00026262983757289294","0.00026262983757289294","35_47:0.006249286871015974","35_47:660","true"
"36","231.10241892921232","220.2999441682443","4.8122759352200895","-0.31175120998201256","0.010399999999999965","0.01","0.010800000000000032","1300","0.0003137409070834327","0","0.0003137409070834327","0.0003137409070834327","36_51:0.009698725153646087","36_51:660","true"
"37","236.9295723009284","107.40352891467762","4.837909740474339","-0.30886995110205334","0.023800000000000043","0.0316","0.016000000000000014","1300","0.0002961559794556112","0","0.0002961559794556112","0.0002961559794556112","37_38:0.022075737192532807","37_38:660","true"
"38","12.582635925180604","13.12864256161158","4.776679833049806","-0.31016511917022377","0.018399999999999972","0.024599999999999955","0.0122","1300","0.0013825079823485435","0","0.0013825079823485435","0.0013825079823485435","","","true"
"39","340.82206627303873","120.63786154961451","4.917369422541952","-0.30824769981735706","0.0393","0.034","0.04459999999999997","1300","0.00018672065148482315","0","0.00018672065148482315","0.00018672065148482315","39_38:0.020373193638478143","39_38:660","true"
"40","292.3835652233748","29.225889650241236","4.86820398819914","-0.30859152479413265","0.015099999999999891","0.0136","0.016599999999999948","1300","0.0001669505598915804","0","0.0001669505598915804","0.0001669505598915804","40_41:0.011824562032715785;40_39:0.004476474396356511","40_41:660;40_39:660","true"
"41","136.40825198981432","152.42801756396767","4.93554356404785","-0.30862641143413133","0.015100000000000002","0.024599999999999955","0.0056","1300","0.0007834490942780539","0","0.0007834490942780539","0.0007834490942780539","41_53:0.011896664999258316","41_53:660","true"
"42","253.31343122286603","137.21044213624816","5.063928457005725","-0.3066601274184393","0.010199999999999987","0.0106","0.009800000000000031","1300","0.00014242052747045214","0","0.00014242052747045214","0.00014242052747045214","42_41:0.012167985366173362;42_43:0.004853401771498622","42_41:660;42_43:660","true"
"43","299.50617376386117","240.4739531208477","4.829552892647809","-0.3101290706249939","0.02639999999999998","0.0206","0.032200000000000006","1300","0.00011984675849420591","0","0.00011984675849420591","0.00011984675849420591","43_44:0.008781196377916023","43_44:660","true"
"44","300.30409299112387","22.09113418881782","4.949171040166026","-0.3085061819189273","0.025500000000000078","0.02180000000000004","0.0292","1300","0.00030599085743313514","0","0.00030599085743313514","0.00030599085743313514","44_45:0.006167574054825209","44_45:660","true"
"45","237.20099739873413","23.955637909674586","4.999439570777192","-0.35905492913025383","0.0494","0.043","0.05579999999999996","1300","0.000344187025009386","0","0.000344187025009386","0.000344187025009386","","","true"
"46","253.83038892115752","166.234964403702","4.853136127313077","-0.3093752065131216","0.011399999999999966","0.01539999999999997","0.0074","1300","0.0004166766860837329","0","0.0004166766860837329","0.0004166766860837329","46_45:0.01606393805912082;46_47:0.006481949260168485","46_45:660;46_47:660","true"
"47","158.60703207311198","153.56875181445753","4.769537734046866","-0.3109329882546267","0.011299999999999977","0.013399999999999967","0.0092","1300","0.0002876407113240112","0","0.0002876407113240112","0.0002876407113240112","","","true"
"48","176.00052215579927","87.49061990163095","4.844159296930073","-0.3101551740988557","0.013299999999999979","0.014599999999999946","0.012","1300","0.00025607185908427623","0","0.00025607185908427623","0.00025607185908427623","48_47:0.007004060204262003;48_49:0.00969073453784991","48_47:660;48_49:660","true"
"49","164.96482535868046","44.04936377320222","4.697333027060798","-0.312183453636997","0.009099999999999997","0.0088","0.009399999999999964","1300","0.000306538307484978","0","0.000306538307484978","0.000306538307484978","","","true"
"50","337.9939715887427","39.44743748437778","4.784065216389066","-0.31049210238863767","0.021100000000000008","0.022399999999999975","0.0198","1300","0.00037907855990576436","0","0.00037907855990576436","0.00037907855990576436","50_49:0.01301248857369125;50_51:0.012042018312109243","50_49:660;50_51:660","true"
"51","148.24988412697257","188.34919200221717","4.931195143259573","-0.3079514036835037","0.01200000000000001","0.013399999999999967","0.0106","1300","0.00024872205505868504","0","0.00024872205505868504","0.00024872205505868504","","","true"
"52","188.11037743686924","147.8701437820919","4.915268091888991","-0.30801090653647334","0.01079999999999992","0.011199999999999988","0.0104","1300","0.00024987711887036697","0","0.00024987711887036697","0.00024987711887036697","52_37:0.011689031949041806;52_56:0.0072422569148998805","52_37:660;52_56:660","true"
"53","271.0153687851705","224.98659720830966","4.996701228091365","-0.30683792833129964","0.007200000000000095","0.0046","0.009800000000000031","1300","0.0003137234336665697","0","0.0003137234336665697","0.0003137234336665697","53_60:0.013050597516008455","53_60:660","true"
"54","191.99379510288242","153.58041147591592","4.96962461873921","-0.3069935236147513","0.01739999999999997","0.0232","0.0116","1300","0.00042524201505167935","0","0.00042524201505167935","0.00042524201505167935","54_64:0.012615946286781726;54_45:0.023833613232965428","54_64:660;54_45:660","true"
"55","53.52031802221551","123.41409899106654","4.837201893521209","-0.31038048092010345","0.02059999999999995","0.02300000000000002","0.0182","1300","0.00034801982540051934","0","0.00034801982540051934","0.00034801982540051934","55_68:0.005650654753263484;55_49:0.0076680927082988515","55_68:660;55_49:660","true"
"56","188.76018199799734","138.47436612674764","4.8145266476661215","-0.30974571553277236","0.015100000000000002","0.013","0.017199999999999993","1300","0.0001343868375680671","0","0.0001343868375680671","0.0001343868375680671","56_57:0.00609595424368406","56_57:660","true"
"57","217.92293492551698","146.34398359789628","4.927636215797346","-0.30778611849622645","0.010199999999999987","0.010199999999999987","0.0102","1300","0.0003181047880616283","0","0.0003181047880616283","0.0003181047880616283","57_58:0.021846866178957147","57_58:660","true"
"58","113.61917094571125","33.8417220285398","4.886914741135209","-0.30930018015034827","0.03170000000000006","0.0494","0.014000000000000012","1300","0.001594992393973139","0","0.001594992393973139","0.001594992393973139","58_71:0.013454372296004352;58_59:0.02840270780620488","58_71:660;58_59:660","true"
"59","187.18509417440882","43.827522630538525","4.971240983646933","-0.30762691104199297","0.012599999999999945","0.01319999999999999","0.012","1300","0.00027592719078199364","0","0.00027592719078199364","0.00027592719078199364","59_60:0.01802757869409488","59_60:660","true"
"60","231.43797321475213","72.40585938077834","4.766228041500117","-0.31054248475500074","0.019400000000000084","0.025000000000000022","0.0138","1300","0.0009830971963529153","0","0.0009830971963529153","0.0009830971963529153","60_61:0.028365235440997172","60_61:660","true"
"61","100.49749354317228","111.00933397597977","4.793929680818951","-0.29056402780855567","0.013500000000000068","0.019","0.008000000000000007","1300","0.00040643138146331743","0","0.00040643138146331743","0.00040643138146331743","","","true"
"62","243.7140674784411","163.30517271888806","4.935227577924499","-0.3079921198487331","0.013600000000000056","0.016599999999999948","0.0106","1300","0.0007982967290666845","0","0.0007982967290666845","0.0007982967290666845","62_72:0.013062366677373594;62_61:0.010924853948369256;62_63:0.009501309107314615","62_72:660;62_61:660;62_63:660","true"
"63","147.9938930317179","103.7473714938977","5.041629381337884","-0.30694631371315323","0.009500000000000064","0.01100000000000001","0.008","1300","0.00016517249880075105","0","0.00016517249880075105","0.00016517249880075105","63_64:0.0065041509938170705","63_64:660","true"
"64","256.8076658731489","174.47521241287518","4.821568151625261","-0.30967161679000116","0.008900000000000019","0.01100000000000001","0.0068","1300","0.00024098560276579378","0","0.00024098560276579378","0.00024098560276579378","","","true"
"65","231.17257569708798","91.95252997717941","4.95716283840736","-0.3075262411046977","0.009300000000000086","0.0106","0.008000000000000007","1300","0.0001910535892834617","0","0.0001910535892834617","0.0001910535892834617","65_64:0.008608407965608855;65_66:0.008756413831907894","65_64:660;65_66:660","true"
"66","194.0946348079798","139.97885566546958","4.885003283440064","-0.3091067496263565","0.014899999999999913","0.0162","0.013599999999999945","1300","0.00028663161598078263","0","0.00028663161598078263","0.00028663161598078263","","","true"
"67","127.16624579316714","131.31728910995295","5.11394299354881","-0.3058889857295697","0.054200000000000026","0.053200000000000025","0.0552","1300","0.00028379285381078536","0","0.00028379285381078536","0.00028379285381078536","67_68:0.009074537812905847;67_66:0.008932062001512864","67_68:660;67_66:660","true"
