"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","218.01548522373815","61.98780590672916","4.721908316964448","-0.31197865973435573","0.02499999999999991","0.0256","0.024399999999999977","1300","0.00018000736345810786","0","0.00018000736345810786","0.00018000736345810786","","","true"
"1","40.459916179513435","40.24135453878261","4.81513590032656","-0.3097440319777085","0.04269999999999996","0.0462","0.03920000000000001","1300","0.0005830493803031549","0","0.0005830493803031549","0.0005830493803031549","1_0:0.008911880909264203","1_0:660","true"
"2","354.4977642239547","310.75807127849555","4.609655107492074","-0.3090875180776862","0.00770000000000004","0.007199999999999984","0.0082","1300","0.00016532368881410373","0","0.00016532368881410373","0.00016532368881410373","2_1:0.014028926475749326","2_1:660","true"
"3","130.6370054809596","133.39379676200366","4.875545985705616","-0.30968652168552707","0.030299999999999994","0.017800000000000038","0.0428","1300","0.00018098216106145426","0","0.00018098216106145426","0.00018098216106145426","3_2:0.0085491865483186","3_2:660","true"
"4","217.4377974072443","113.67269033651735","4.818175808974537","-0.3103713081153928","0.03960000000000008","0.041000000000000036","0.0382","1300","0.00020682602459221692","0","0.00020682602459221692","0.00020682602459221692","4_15:0.0073871907594644515;4_3:0.009948882886573834;4_5:0.007858772749385123","4_15:660;4_3:660;4_5:660","true"
"5","233.0079447104109","177.17984307297473","4.7341447892979165","-0.3114518235315779","0.008599999999999941","0.012399999999999967","0.0048","1300","0.0002482725530759367","0","0.0002482725530759367","0.0002482725530759367","","","true"
"6","227.84500074442494","52.49357187126522","4.876275766278119","-0.30918835047116894","0.011500000000000066","0.0066","0.01639999999999997","1300","0.00015161427466007537","0","0.00015161427466007537","0.00015161427466007537","6_5:0.006940057601509481;6_7:0.005631310565599595","6_5:660;6_7:660","true"
"7","341.6105192966548","85.60521546005346","4.967524822898377","-0.30745739300983294","0.013900000000000023","0.017000000000000015","0.0108","1300","0.00033519795232672515","0","0.00033519795232672515","0.00033519795232672515","7_8:0.005606346486714042","7_8:660","true"
"8","220.79736486143517","70.32624549340863","4.902345248208107","-0.30837827664687645","0.016199999999999992","0.0152","0.017199999999999993","1300","0.00021432167354945277","0","0.00021432167354945277","0.00021432167354945277","8_9:0.009956559814730592","8_9:660","true"
"9","151.82955728948593","75.29135201609846","4.987235069122292","-0.3080310587566364","0.006399999999999961","0.006800000000000028","0.006","1300","0.00035826914866464004","0","0.00035826914866464004","0.00035826914866464004","","","true"
"10","282.89081997308534","196.70618039867117","4.831534448410197","-0.3097434424405673","0.017900000000000027","0.0156","0.020199999999999996","1300","0.00014169294545948963","0","0.00014169294545948963","0.00014169294545948963","10_9:0.006668680682091616;10_11:0.007808608208670964","10_9:660;10_11:660","true"
"11","297.4393592898847","251.27394980433272","4.972305689737398","-0.307214316560019","0.13739999999999997","0.1396","0.1352","1300","0.0003983447244835705","0","0.0003983447244835705","0.0003983447244835705","11_12:0.005473357028833448","11_12:660","true"
"12","314.8870314008309","126.25646443284887","4.936319107472835","-0.3079608272575031","0.013900000000000023","0.014599999999999946","0.0132","1300","0.00019964599776064784","0","0.00019964599776064784","0.00019964599776064784","12_17:0.004903132264452825","12_17:660","true"
"13","129.26769879193782","87.25277598741725","5.005809502119509","-0.3067650398842775","0.020399999999999974","0.0074","0.033399999999999985","1300","0.00024145140240214492","0","0.00024145140240214492","0.00024145140240214492","13_12:0.006470522023524161","13_12:660","true"
"14","104.57648950918207","78.27777477248324","4.903344760967439","-0.308419961199297","0.01750000000000007","0.021","0.014000000000000012","1300","0.0013423993040387486","0","0.0013423993040387486","0.0013423993040387486","14_0:0.0103545662167015;14_18:0.010094719422443138","14_0:660;14_18:660","true"
