"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","281.74536950143727","53.35602378986185","4.721908316964448","-0.31197865973435573","0.025700000000000056","0.028","0.023399999999999976","1300","0.000311875761933025","0","0.000311875761933025","0.000311875761933025","","","true"
"1","125.15773843191953","70.3176447291367","4.81513590032656","-0.3097440319777085","0.040200000000000014","0.0416","0.038799999999999946","1300","0.0003583335666317452","0","0.0003583335666317452","0.0003583335666317452","1_0:0.005997820744426591","1_0:660","true"
"2","174.82890636808122","194.82098531753118","4.609655107492074","-0.3090875180776862","0.00869999999999993","0.010000000000000009","0.0074","1300","0.0002697341678509416","0","0.0002697341678509416","0.0002697341678509416","2_1:0.007286203515611378","2_1:660","true"
"3","273.70245807625395","235.40493493926","4.875545985705616","-0.30968652168552707","0.0353","0.024599999999999955","0.046","1300","0.0001991259823418633","0","0.0001991259823418633","0.0001991259823418633","3_2:0.007184431899497384","3_2:660","true"
"4","194.7889731177969","136.01212300289518","4.818175808974537","-0.3103713081153928","0.05500000000000005","0.050000000000000044","0.06","1300","0.00027944825410728677","0","0.00027944825410728677","0.00027944825410728677","4_15:0.006073099104055152;4_3:0.007287814221193428;4_5:0.006042272784931357","4_15:660;4_3:660;4_5:660","true"
"5","243.72536291717623","180.10873942078862","4.7341447892979165","-0.3114518235315779","0.1266666666666667","0.10333333333333339","0.15","1300","0.00020865826869629446","0","0.00020865826869629446","0.00020865826869629446","","","true"
"6","192.08856846157224","61.38243557670715","4.876275766278119","-0.30918835047116894","0.026666666666666616","0.02","0.033333333333333326","1300","0.0013388294750597883","0","0.0013388294750597883","0.0013388294750597883","6_5:0.007958308134209252;6_7:0.00618004878796885","6_5:660;6_7:660","true"
"7","332.81244304213817","100.59446055608963","4.967524822898377","-0.30745739300983294","0.08833333333333337","0.07999999999999996","0.09666666666666666","1300","0.00023237815227222566","0","0.00023237815227222566","0.00023237815227222566","7_8:0.009392061058673185","7_8:660","true"
"8","216.87683256966056","68.57372559084827","4.902345248208107","-0.30837827664687645","0.036666666666666625","0.02666666666666667","0.046666666666666634","1300","0.0003628456193272642","0","0.0003628456193272642","0.0003628456193272642","8_9:0.01753549975586685","8_9:660","true"
"9","363.23570513433594","111.44128190194729","4.987235069122292","-0.3080310587566364","0.06833333333333336","0.02666666666666667","0.10999999999999999","1300","0.00019179839873146603","0","0.00019179839873146603","0.00019179839873146603","","","true"
"10","221.87782268752414","192.5634552444454","4.831534448410197","-0.3097434424405673","0.012599999999999945","0.0136","0.011600000000000055","1300","0.00022008272924154185","0","0.00022008272924154185","0.00022008272924154185","10_9:0.005459748726501984;10_11:0.011270728236851879","10_9:660;10_11:660","true"
"11","285.5081888216744","232.39815820506453","4.972305689737398","-0.307214316560019","0.12739999999999996","0.1314","0.12339999999999995","1300","0.0006660610544511206","0","0.0006660610544511206","0.0006660610544511206","11_12:0.008526036490899475","11_12:660","true"
"12","276.2472762914252","120.60635691388191","4.936319107472835","-0.3079608272575031","0.013499999999999956","0.014399999999999968","0.0126","1300","0.0001962077232326591","0","0.0001962077232326591","0.0001962077232326591","12_17:0.004669328007466195","12_17:660","true"
"13","250.4426529307169","75.84564642663605","5.005809502119509","-0.3067650398842775","0.013000000000000012","0.0106","0.01539999999999997","1300","0.0002927930944236676","0","0.0002927930944236676","0.0002927930944236676","13_12:0.007498577977003512","13_12:660","true"
"14","122.82110382582417","70.7448767544095","4.903344760967439","-0.308419961199297","0.01770000000000005","0.023","0.012399999999999967","1300","0.0006674986089469139","0","0.0006674986089469139","0.0006674986089469139","14_0:0.007179497376170352;14_18:0.008829931005941871","14_0:660;14_18:660","true"
"15","270.3172767640005","42.02676691238395","4.947914953560998","-0.308052427832017","0.050000000000000044","0.026666666666666616","0.07333333333333333","1300","0.00015068835128611254","0","0.00015068835128611254","0.00015068835128611254","15_22:0.003914516048549088","15_22:660","true"
"16","254.32200936749118","14.944640041098493","4.9603281019871295","-0.3076594514774509","0.04499999999999993","0.043333333333333335","0.04666666666666667","1300","0.00034507751842474866","0","0.00034507751842474866","0.00034507751842474866","16_8:0.011469405980512881;16_26:0.015539946842244134","16_8:660;16_26:660","true"
"17","336.88546416463157","278.0414267338012","4.820823460371974","-0.30970435909943395","0.013299999999999979","0.009399999999999964","0.0172","1300","0.0001767302467796648","0","0.0001767302467796648","0.0001767302467796648","17_30:0.0068916835028741685","17_30:660","true"
"18","337.18225898259453","115.87485264429833","4.788139278987067","-0.31063598977187784","0.08666666666666667","0.050000000000000044","0.12333333333333334","1300","0.0001716984708201645","0","0.0001716984708201645","0.0001716984708201645","18_19:0.0038922121307603808","18_19:660","true"
"19","308.3450834196416","123.47202561703536","4.7469924322616","-0.31072395279331844","0.05666666666666664","0.043333333333333335","0.07","1300","0.0001107185339865632","0","0.0001107185339865632","0.0001107185339865632","","","true"
"20","190.43640221580551","230.17680247369367","4.862313786651259","-0.3090978906556921","0.10166666666666657","0.11333333333333329","0.09","1300","0.00043986196819771546","0","0.00043986196819771546","0.00043986196819771546","20_33:0.012786501753987461;20_19:0.009890935801176531","20_33:660;20_19:660","true"
